chemical_name,pest_name,crop_name,dosage
,a.i (gm),Formulation (gm/ml),Dilution in Water (Liter)
Red spider mites (Tetranychus urticae),0.00048- 0.00096%,0.025-0.050%,500
Mites,0.014/L,0.75 ml/L water,500 – 1000
European Red Mite and Spotted Red Spider Mite,0.00095%,0.05%,6-7 litre water/ tree
Jassids,292,390,500 – 1000
Bollworms,584,780,500 – 1000
Aphids,584,780,500 – 1000
"Yellow stem borer, Leaf folder, Plant Hoppers, Green leaf hopper",500 – 750,666 – 100,300 – 500
Jassids & Boll worm complex,436.50 – 582,450 – 600,500
"Yellow stem borer, Leaf folder, Plant hoppers, Green leaf hopper",727.50,750,500
"Stem borer, Leaf folder, Brown",562.50,592,500
,Boll Worms,15 – 25,165 – 280
Boll Worms,25 – 30,250 – 300,
"Rats, Mice, Field Rodents",10-20% Technical material to be mixed with bait,-,-
Bollworm,12.5-18.75,500 – 750,500 – 1000
"Stem borer, Leaf folder, Brown plant hopper",1000,33000,-
Pod borer,1000,2500,500
"Brown Plant Hopper, White Backed Plant Hopper",75-100,750-1000,500
Two Spotted Mite (Tetranychus urticae),375,750,3000
Two Spotted Mite (Tetranychus urticae),120,500,2000
"Red spider mite, Tea Mosquito bug",40.00,500,400
Mites,60 gm (0.006% Conc.),7.50 ml/tree,10 lit/tree
"Stem borer, Leaf folder",44,500,500
,"Field Rat, Large Bandicota Indian house rat, Indian field mouse",0.005,-
,"Field Rat, Indian house rat",0.005,-
,"Field Rat, Large Bandicota",0.005,-
,Indian house rat,0.005,-
,"Field Rat, Large Bandicota",0.005,-
,"Indian house rat, House mouse",0.005,-
,"Stem borer, Leaf folder",500,1000
,Fruit borer (Helicoverpa armigera & Earias vittella),25,
,Fruit borer (Helicoverpa armigera),30,
,"Yellow Stemborer (Scirpophaga incertulas), Leaf folder (Cnaphalocrocis medinalis)",75,
,Spotted Stemborer (Chilo partellus),40,
,Fall army worm (Spodoptera frugiperda),70,
,Diamond back moth (Plutella xylostella),75 – 100,
,Mites (Polyphagotarsonemus latus),75 – 100,
,"Diamond back moth, Tobacco leaf eating caterpillar",75,
,"American bollworm, Tobacco leaf eating caterpillar",75 – 100,
Yellow stem borer (Scirpophaga 14incertulas),375 – 400,500 – 533,500 –1000
Stem Borer,270.75,1425,500
Hispa,250,1250,500 –1000
Leaf folder,375,1875,500 –1000
